FPR	TPR	Threshold
0.000000	0.000000	2.114710
0.000000	0.000003	1.114710
0.000000	0.000024	1.103754
0.000000	0.000045	1.094099
0.000000	0.000052	1.089547
0.000000	0.000107	1.084781
0.000000	0.000118	1.084237
0.000000	0.000121	1.083169
0.000000	0.000128	1.077661
0.000000	0.000142	1.076368
0.000000	0.000145	1.075639
0.000000	0.000159	1.075412
0.000000	0.000166	1.074200
0.000000	0.000173	1.074109
0.000000	0.000187	1.073421
0.000000	0.000207	1.071961
0.000000	0.000218	1.071727
0.000000	0.000221	1.071353
0.000000	0.000228	1.070454
0.000000	0.000245	1.070131
0.000000	0.000252	1.069998
0.000000	0.000259	1.069307
0.000001	0.000259	1.069161
0.000001	0.000280	1.068862
0.000001	0.000287	1.068006
0.000001	0.000294	1.067178
0.000010	0.000311	1.066924
0.000010	0.000339	1.065357
0.000010	0.000346	1.064973
0.000010	0.000356	1.064801
0.000010	0.000366	1.064690
0.000010	0.000373	1.064520
0.000010	0.000377	1.064478
0.000011	0.000391	1.064038
0.000011	0.000394	1.063198
0.000011	0.000404	1.063179
0.000011	0.000411	1.063102
0.000011	0.000425	1.063074
0.000011	0.000429	1.062452
0.000011	0.000446	1.061887
0.000011	0.000449	1.061226
0.000013	0.000449	1.060990
0.000013	0.000453	1.060825
0.000014	0.000456	1.060815
0.000014	0.000463	1.060399
0.000014	0.000474	1.060356
0.000014	0.000498	1.060342
0.000014	0.000505	1.060119
0.000014	0.000515	1.059991
0.000014	0.000529	1.059031
0.000014	0.000543	1.058736
0.000014	0.000550	1.058439
0.000014	0.000605	1.058185
0.000014	0.000612	1.058182
0.000014	0.000615	1.058149
0.000015	0.000619	1.058127
0.000031	0.000633	1.058086
0.000038	0.000660	1.058014
0.000041	0.000671	1.057850
0.000041	0.000698	1.057732
0.000041	0.000712	1.057510
0.000041	0.000719	1.056559
0.000041	0.000726	1.056440
0.000041	0.000729	1.056262
0.000042	0.000747	1.056214
0.000042	0.000771	1.056134
0.000042	0.000778	1.056033
0.000042	0.000785	1.055819
0.000042	0.000805	1.055151
0.000042	0.000812	1.055019
0.000044	0.000812	1.054982
0.000044	0.000819	1.054870
0.000044	0.000830	1.054633
0.000044	0.000833	1.054565
0.000044	0.000843	1.054400
0.000044	0.000847	1.054348
0.000044	0.000857	1.054275
0.000044	0.000861	1.054172
0.000044	0.000868	1.054112
0.000044	0.000871	1.054071
0.000045	0.000871	1.053934
0.000045	0.000881	1.053843
0.000045	0.000895	1.053708
0.000045	0.000909	1.053663
0.000048	0.000926	1.053640
0.000048	0.000933	1.053312
0.000049	0.000940	1.053114
0.000049	0.000971	1.052988
0.000051	0.000971	1.052326
0.000051	0.000985	1.052252
0.000051	0.001006	1.052249
0.000051	0.001023	1.052229
0.000051	0.001047	1.052163
0.000051	0.001058	1.051954
0.000051	0.001061	1.051840
0.000051	0.001068	1.050840
0.000051	0.001072	1.050488
0.000051	0.001096	1.050211
0.000051	0.001106	1.050179
0.000051	0.001113	1.050100
0.000051	0.001117	1.049915
0.000058	0.001120	1.049777
0.000058	0.001144	1.049587
0.000058	0.001155	1.049582
0.000058	0.001158	1.049579
0.000058	0.001206	1.049559
0.000058	0.001213	1.049543
0.000058	0.001224	1.049403
0.000058	0.001227	1.049197
0.000058	0.001238	1.049115
0.000058	0.001244	1.048950
0.000058	0.001251	1.048916
0.000058	0.001255	1.048414
0.000058	0.001265	1.048366
0.000058	0.001269	1.048361
0.000058	0.001289	1.048257
0.000058	0.001293	1.048253
0.000058	0.001300	1.048250
0.000058	0.001303	1.048232
0.000058	0.001310	1.048175
0.000059	0.001334	1.048164
0.000059	0.001341	1.048055
0.000059	0.001352	1.047836
0.000059	0.001355	1.047753
0.000059	0.001365	1.047664
0.000061	0.001379	1.047300
0.000061	0.001383	1.047268
0.000062	0.001383	1.047257
0.000062	0.001393	1.047206
0.000062	0.001400	1.047158
0.000062	0.001417	1.047116
0.000062	0.001428	1.047058
0.000062	0.001431	1.046995
0.000062	0.001441	1.046670
0.000062	0.001448	1.046193
0.000062	0.001473	1.046087
0.000062	0.001486	1.045683
0.000062	0.001524	1.045637
0.000062	0.001528	1.045622
0.000063	0.001562	1.045609
0.000063	0.001569	1.045376
0.000063	0.001580	1.045363
0.000063	0.001583	1.045362
0.000063	0.001590	1.045346
0.000063	0.001594	1.045308
0.000063	0.001601	1.045180
0.000063	0.001604	1.045124
0.000063	0.001635	1.045107
0.000065	0.001659	1.045064
0.000065	0.001663	1.045022
0.000065	0.001670	1.044988
0.000065	0.001673	1.044942
0.000065	0.001683	1.044914
0.000065	0.001749	1.044783
0.000065	0.001756	1.044457
0.000065	0.001846	1.044300
0.000065	0.001853	1.044179
0.000065	0.001863	1.043980
0.000065	0.001877	1.043653
0.000065	0.001884	1.043652
0.000065	0.001887	1.043648
0.000065	0.001898	1.043626
0.000065	0.001912	1.043610
0.000065	0.001932	1.043577
0.000065	0.001943	1.043549
0.000065	0.001957	1.043514
0.000066	0.001974	1.043472
0.000066	0.001981	1.043294
0.000066	0.001988	1.043280
0.000066	0.001995	1.043233
0.000066	0.002002	1.043134
0.000066	0.002008	1.042947
0.000068	0.002008	1.042929
0.000068	0.002012	1.042921
0.000068	0.002019	1.042917
0.000068	0.002033	1.042593
0.000068	0.002040	1.042585
0.000068	0.002043	1.042553
0.000068	0.002050	1.042507
0.000068	0.002057	1.042425
0.000069	0.002064	1.042383
0.000069	0.002067	1.042299
0.000069	0.002084	1.042124
0.000069	0.002088	1.042116
0.000070	0.002116	1.042048
0.000070	0.002129	1.041807
0.000070	0.002136	1.041800
0.000070	0.002140	1.041782
0.000070	0.002150	1.041781
0.000072	0.002202	1.041585
0.000072	0.002209	1.041566
0.000072	0.002212	1.041541
0.000073	0.002219	1.041376
0.000073	0.002278	1.041218
0.000073	0.002292	1.041174
0.000073	0.002295	1.041146
0.000073	0.002306	1.041078
0.000073	0.002333	1.041010
0.000073	0.002375	1.040978
0.000073	0.002385	1.040878
0.000075	0.002385	1.040823
0.000075	0.002389	1.040781
0.000075	0.002396	1.040774
0.000075	0.002409	1.040696
0.000075	0.002441	1.040685
0.000075	0.002447	1.040629
0.000075	0.002454	1.040579
0.000075	0.002465	1.040556
0.000075	0.002472	1.040550
0.000075	0.002475	1.040547
0.000075	0.002492	1.040491
0.000075	0.002496	1.040290
0.000075	0.002510	1.040143
0.000076	0.002537	1.040095
0.000076	0.002544	1.040075
0.000076	0.002555	1.039973
0.000076	0.002562	1.039839
0.000076	0.002568	1.039767
0.000076	0.002572	1.039548
0.000076	0.002579	1.039502
0.000077	0.002579	1.039422
0.000077	0.002582	1.039407
0.000077	0.002589	1.039343
0.000077	0.002593	1.039335
0.000077	0.002610	1.039318
0.000077	0.002613	1.039230
0.000079	0.002696	1.039204
0.000079	0.002710	1.039018
0.000079	0.002724	1.038993
0.000079	0.002727	1.038981
0.000079	0.002755	1.038887
0.000079	0.002762	1.038849
0.000079	0.002769	1.038817
0.000079	0.002776	1.038763
0.000079	0.002814	1.038694
0.000079	0.002828	1.038501
0.000080	0.002835	1.038487
0.000080	0.002838	1.038455
0.000080	0.002845	1.038394
0.000080	0.002848	1.038302
0.000080	0.002873	1.038284
0.000080	0.002883	1.037884
0.000080	0.002890	1.037808
0.000080	0.002907	1.037767
0.000080	0.002914	1.037675
0.000080	0.002918	1.037622
0.000080	0.002928	1.037573
0.000083	0.002931	1.037488
0.000083	0.002952	1.037448
0.000083	0.002959	1.037376
0.000083	0.002976	1.037374
0.000084	0.002976	1.037352
0.000084	0.002987	1.037341
0.000084	0.003011	1.037007
0.000084	0.003039	1.036870
0.000084	0.003045	1.036729
0.000086	0.003045	1.036708
0.000087	0.003073	1.036583
0.000087	0.003111	1.036546
0.000087	0.003125	1.036542
0.000087	0.003146	1.036530
0.000087	0.003153	1.036483
0.000087	0.003239	1.036469
0.000087	0.003249	1.036370
0.000087	0.003291	1.036356
0.000087	0.003298	1.036304
0.000093	0.003312	1.036278
0.000093	0.003319	1.036249
0.000093	0.003322	1.036235
0.000094	0.003322	1.036175
0.000094	0.003332	1.036120
0.000094	0.003360	1.036031
0.000096	0.003381	1.035986
0.000096	0.003395	1.035919
0.000096	0.003398	1.035877
0.000096	0.003408	1.035753
0.000096	0.003415	1.035643
0.000096	0.003419	1.035613
0.000096	0.003426	1.035492
0.000097	0.003433	1.035450
0.000097	0.003436	1.035449
0.000097	0.003446	1.035418
0.000097	0.003467	1.035354
0.000097	0.003474	1.035241
0.000097	0.003481	1.035169
0.000097	0.003491	1.035164
0.000097	0.003516	1.035153
0.000097	0.003526	1.035131
0.000097	0.003529	1.035109
0.000097	0.003536	1.035025
0.000097	0.003540	1.035023
0.000097	0.003547	1.035012
0.000097	0.003550	1.034986
0.000097	0.003564	1.034855
0.000097	0.003567	1.034744
0.000097	0.003581	1.034717
0.000097	0.003592	1.034675
0.000097	0.003599	1.034648
0.000097	0.003647	1.034603
0.000097	0.003650	1.034586
0.000097	0.003671	1.034551
0.000097	0.003685	1.034548
0.000097	0.003702	1.034374
0.000097	0.003709	1.034325
0.000097	0.003720	1.034237
0.000097	0.003733	1.034233
0.000097	0.003737	1.034204
0.000097	0.003768	1.034159
0.000097	0.003771	1.034150
0.000098	0.003789	1.034145
0.000098	0.003803	1.034137
0.000098	0.003823	1.034131
0.000098	0.003827	1.034080
0.000098	0.003861	1.033870
0.000098	0.003865	1.033859
0.000100	0.003868	1.033839
0.000100	0.003896	1.033757
0.000100	0.003899	1.033673
0.000100	0.003927	1.033655
0.000100	0.003937	1.033640
0.000100	0.003944	1.033622
0.000100	0.003955	1.033600
0.000100	0.003962	1.033592
0.000100	0.003968	1.033580
0.000100	0.003972	1.033521
0.000100	0.003982	1.033456
0.000100	0.003996	1.033297
0.000100	0.004003	1.033270
0.000100	0.004031	1.033262
0.000100	0.004065	1.033218
0.000100	0.004072	1.033216
0.000100	0.004086	1.033201
0.000100	0.004100	1.033084
0.000100	0.004117	1.033069
0.000100	0.004145	1.033066
0.000100	0.004148	1.032981
0.000100	0.004159	1.032956
0.000100	0.004162	1.032954
0.000100	0.004183	1.032836
0.000100	0.004190	1.032761
0.000101	0.004200	1.032755
0.000101	0.004204	1.032736
0.000101	0.004224	1.032644
0.000101	0.004228	1.032622
0.000103	0.004238	1.032592
0.000103	0.004245	1.032579
0.000106	0.004252	1.032579
0.000106	0.004259	1.032567
0.000106	0.004269	1.032518
0.000106	0.004280	1.032499
0.000106	0.004286	1.032464
0.000106	0.004304	1.032458
0.000106	0.004324	1.032456
0.000106	0.004352	1.032431
0.000106	0.004356	1.032425
0.000106	0.004376	1.032410
