	Feature	Shap Value
9	ImpCount3d	0.08654255940187987
6	RefreshType	0.08411802840550699
11	ImpCount7d	0.03941370990488522
0	Request_Hour	0.032222726435050406
5	Request_Offset	0.028478728565680275
13	ActiveDays	0.015120711851920533
7	ImpCount1d	0.01283418164531984
1	Request_IsWeekend	0.012320236705851934
3	Request_UserLongitude	0.010109773653406696
2	Request_UserLatitude	0.007228217958832766
12	ClickCount7d	0.005866105715364174
10	ClickCount3d	0.005338995376443533
4	Request_Count	0.0025847805140700626
8	ClickCount1d	0.00012520102263789232
